name,description,instruction,ingredients,meal_type,allergen,total_calories,protein,carbs,fats,meal_difficulty,meal_cooking_time,meal_cooking_method,country_origin,diet_type
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,dairy allergy,457,33.95,41.92,25.26,hard,12 min,frying,Morocco,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,dairy allergy,256,34.71,69.02,13.9,hard,24 min,baking,Thailand,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,dairy allergy,405,28.77,66.08,20.95,easy,56 min,baking,Lebanon,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,dairy allergy,777,27.54,28.24,9.26,medium,47 min,boiling,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,dairy allergy,599,19.73,59.6,24.55,hard,18 min,boiling,India,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,egg allergy,459,12.35,35.39,25.89,medium,20 min,grilling,France,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,egg allergy,411,29.97,63.13,19.21,medium,17 min,frying,Japan,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,egg allergy,723,37.69,76.53,14.54,medium,25 min,raw,Italy,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,egg allergy,433,20.32,91.78,8.65,medium,14 min,frying,India,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,egg allergy,740,20.72,57.4,18.23,medium,40 min,raw,France,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,egg allergy,643,32.67,45.59,20.79,hard,12 min,baking,Japan,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,egg allergy,690,16.6,86.47,17.41,hard,15 min,grilling,France,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,egg allergy,477,23.61,30.74,24.99,medium,49 min,frying,Japan,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,egg allergy,511,10.94,87.1,22.71,medium,55 min,grilling,India,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,egg allergy,574,32.95,99.21,23.64,medium,30 min,boiling,Japan,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,egg allergy,321,14.07,74.75,5.28,hard,45 min,raw,Lebanon,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,egg allergy,629,15.59,69.89,19.22,easy,35 min,raw,Japan,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,egg allergy,312,35.36,60.69,8.48,easy,36 min,baking,Japan,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,egg allergy,418,22.47,85.97,24.99,medium,23 min,steaming,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,egg allergy,577,15.99,50.84,20.83,hard,47 min,raw,Japan,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,fish allergy,378,23.27,26.09,28.42,medium,59 min,boiling,France,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,fish allergy,780,21.56,92.15,20.84,medium,46 min,baking,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,fish allergy,629,39.93,82.39,17.31,medium,52 min,boiling,USA,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,fish allergy,557,14.21,22.17,24.0,easy,18 min,baking,Japan,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,fish allergy,686,12.61,35.97,18.78,easy,44 min,raw,India,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,fish allergy,359,19.52,50.67,16.4,hard,40 min,grilling,Mexico,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,fish allergy,494,24.27,69.32,22.59,easy,46 min,raw,USA,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,fish allergy,254,38.9,34.5,8.95,hard,43 min,roasting,Japan,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,fish allergy,728,31.57,66.23,5.76,hard,59 min,frying,Morocco,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,fish allergy,445,32.87,99.21,29.0,hard,40 min,baking,Greece,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,fish allergy,257,32.41,22.82,21.53,hard,20 min,frying,Italy,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,fish allergy,798,32.83,96.54,27.82,medium,43 min,roasting,France,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,fish allergy,733,17.72,39.35,11.68,easy,41 min,roasting,France,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,fish allergy,378,13.05,50.58,13.49,easy,22 min,grilling,Morocco,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,fish allergy,258,32.6,50.53,17.33,medium,54 min,roasting,Italy,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,shellfish allergy,717,10.86,66.65,8.22,medium,14 min,roasting,Lebanon,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,shellfish allergy,479,17.73,94.92,25.13,easy,26 min,frying,USA,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,shellfish allergy,420,13.56,53.87,18.91,hard,20 min,boiling,Thailand,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,shellfish allergy,745,39.27,33.86,28.48,easy,29 min,frying,Italy,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,shellfish allergy,736,29.65,33.43,8.62,hard,46 min,raw,Greece,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,shellfish allergy,730,21.77,47.76,13.74,medium,33 min,baking,France,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,shellfish allergy,716,10.42,38.54,12.38,easy,36 min,boiling,Italy,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,shellfish allergy,368,28.64,50.7,9.66,easy,21 min,roasting,Thailand,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,shellfish allergy,373,11.78,65.49,22.93,easy,46 min,raw,Morocco,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,shellfish allergy,763,27.13,27.43,6.12,hard,17 min,steaming,Japan,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,shellfish allergy,549,12.52,25.23,21.92,hard,40 min,baking,France,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,shellfish allergy,393,34.97,85.82,17.79,hard,52 min,frying,Lebanon,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,shellfish allergy,576,17.21,82.59,28.14,hard,46 min,roasting,Morocco,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,shellfish allergy,381,33.7,35.35,21.06,easy,35 min,steaming,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,shellfish allergy,742,17.05,74.14,22.66,hard,29 min,raw,India,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,peanut allergy,766,28.55,86.86,8.69,hard,29 min,raw,Japan,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,peanut allergy,649,20.08,83.44,20.79,easy,17 min,frying,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,peanut allergy,453,12.21,82.68,17.9,medium,37 min,frying,India,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,peanut allergy,251,32.34,44.44,5.4,hard,10 min,steaming,Japan,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,peanut allergy,312,38.23,42.44,14.5,medium,25 min,baking,France,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,peanut allergy,258,19.32,70.47,12.2,hard,22 min,steaming,USA,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,peanut allergy,703,10.97,31.9,5.72,medium,58 min,steaming,Thailand,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,peanut allergy,334,19.9,20.18,24.78,easy,21 min,raw,France,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,peanut allergy,399,28.47,53.97,25.79,hard,44 min,grilling,USA,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,peanut allergy,324,27.71,34.21,11.55,medium,45 min,grilling,Morocco,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,peanut allergy,299,14.29,79.57,15.46,medium,42 min,boiling,Mexico,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,peanut allergy,394,34.63,41.61,13.97,easy,10 min,roasting,Mexico,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,peanut allergy,535,37.43,35.31,12.51,medium,40 min,roasting,Morocco,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,peanut allergy,394,31.12,84.48,16.93,medium,10 min,grilling,USA,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,peanut allergy,448,22.56,73.96,16.28,hard,11 min,frying,Morocco,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,tree nut allergy,552,16.83,63.1,25.12,easy,30 min,steaming,Greece,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,tree nut allergy,547,34.11,38.41,22.31,easy,15 min,grilling,France,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,tree nut allergy,750,38.43,39.05,20.17,easy,54 min,baking,Italy,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,tree nut allergy,471,38.57,36.69,13.53,easy,12 min,raw,Morocco,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,tree nut allergy,303,16.46,49.67,22.95,medium,21 min,raw,France,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,tree nut allergy,607,33.45,95.13,5.58,hard,43 min,steaming,Italy,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,tree nut allergy,745,34.83,79.01,26.77,hard,41 min,baking,India,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,tree nut allergy,707,25.93,50.5,20.86,easy,29 min,roasting,India,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,tree nut allergy,730,26.68,92.2,29.3,easy,31 min,steaming,Morocco,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,tree nut allergy,346,38.72,40.35,19.61,easy,53 min,grilling,France,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,tree nut allergy,687,19.26,22.98,13.26,medium,15 min,raw,France,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,tree nut allergy,373,20.32,54.77,14.8,medium,19 min,raw,Greece,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,tree nut allergy,736,38.07,84.67,22.2,easy,11 min,baking,Greece,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,tree nut allergy,360,29.73,84.95,10.11,easy,19 min,roasting,Greece,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,tree nut allergy,635,29.51,34.06,7.34,easy,53 min,roasting,Lebanon,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,wheat/gluten allergy,623,11.72,39.93,14.72,easy,20 min,raw,Morocco,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,wheat/gluten allergy,694,21.08,64.96,20.68,medium,56 min,boiling,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,wheat/gluten allergy,608,34.48,50.7,13.86,easy,55 min,roasting,Greece,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,wheat/gluten allergy,658,22.02,69.62,25.13,hard,51 min,frying,India,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,wheat/gluten allergy,662,20.99,30.68,10.51,easy,58 min,roasting,India,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,wheat/gluten allergy,716,35.77,46.38,18.97,medium,10 min,steaming,Greece,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,wheat/gluten allergy,666,14.34,21.67,18.27,easy,15 min,grilling,Japan,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,wheat/gluten allergy,553,15.27,41.52,28.17,easy,56 min,frying,India,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,wheat/gluten allergy,291,31.67,47.2,16.07,easy,41 min,grilling,Thailand,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,wheat/gluten allergy,636,13.21,86.63,27.0,hard,33 min,baking,Greece,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,wheat/gluten allergy,786,17.66,66.21,13.69,medium,29 min,raw,France,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,wheat/gluten allergy,490,24.14,47.79,22.43,medium,33 min,raw,Japan,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,wheat/gluten allergy,449,33.01,97.93,27.78,medium,27 min,baking,Mexico,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,wheat/gluten allergy,544,23.25,88.21,20.33,medium,14 min,steaming,Thailand,"['vegetarian', 'keto']"
